mean,std,min,max,range,skewness,kurtosis
-2.9720299899534583e-12,2.077737409227452e-09,-1.05994e-08,1.05309e-08,2.11303e-08,0.020507577745179563,9.243752047338578
4.342243935737902e-12,2.2942728395398217e-09,-1.72805e-08,1.70163e-08,3.42968e-08,-0.010275193320941576,26.734337700386092
-2.972002077257685e-12,2.077658835586925e-09,-1.05992e-08,1.05308e-08,2.1129999999999998e-08,0.020508755495596713,9.244024411662132
-2.9720299899534583e-12,2.077737409227452e-09,-1.05994e-08,1.05309e-08,2.11303e-08,0.020507577745179563,9.243752047338578
4.342243935737902e-12,2.2942728395398217e-09,-1.72805e-08,1.70163e-08,3.42968e-08,-0.010275193320941576,26.734337700386092
-2.972002077257685e-12,2.077658835586925e-09,-1.05992e-08,1.05308e-08,2.1129999999999998e-08,0.020508755495596713,9.244024411662132
-2.9720299899534583e-12,2.077737409227452e-09,-1.05994e-08,1.05309e-08,2.11303e-08,0.020507577745179563,9.243752047338578
4.342243935737902e-12,2.2942728395398217e-09,-1.72805e-08,1.70163e-08,3.42968e-08,-0.010275193320941576,26.734337700386092
-2.972002077257685e-12,2.077658835586925e-09,-1.05992e-08,1.05308e-08,2.1129999999999998e-08,0.020508755495596713,9.244024411662132
-2.9720299899534583e-12,2.077737409227452e-09,-1.05994e-08,1.05309e-08,2.11303e-08,0.020507577745179563,9.243752047338578
4.342243935737902e-12,2.2942728395398217e-09,-1.72805e-08,1.70163e-08,3.42968e-08,-0.010275193320941576,26.734337700386092
-2.972002077257685e-12,2.077658835586925e-09,-1.05992e-08,1.05308e-08,2.1129999999999998e-08,0.020508755495596713,9.244024411662132
-3.3569063232473073e-12,2.079337738597291e-09,-1.05511e-08,1.05367e-08,2.10878e-08,0.021270285106888255,9.287399497691684
3.684359328352686e-12,1.9117284996731167e-09,-1.41741e-08,1.43207e-08,2.84948e-08,-0.003954287261824825,26.207967967574188
-3.4544211788571476e-12,2.079908026672403e-09,-1.05812e-08,1.05766e-08,2.11578e-08,0.02220080526349028,9.38338434889437
-3.3569063232473073e-12,2.079337738597291e-09,-1.05511e-08,1.05367e-08,2.10878e-08,0.021270285106888255,9.287399497691684
3.684359328352686e-12,1.9117284996731167e-09,-1.41741e-08,1.43207e-08,2.84948e-08,-0.003954287261824825,26.207967967574188
-3.4544211788571476e-12,2.079908026672403e-09,-1.05812e-08,1.05766e-08,2.11578e-08,0.02220080526349028,9.38338434889437
-3.3569063232473073e-12,2.079337738597291e-09,-1.05511e-08,1.05367e-08,2.10878e-08,0.021270285106888255,9.287399497691684
3.684359328352686e-12,1.9117284996731167e-09,-1.41741e-08,1.43207e-08,2.84948e-08,-0.003954287261824825,26.207967967574188
-3.4544211788571476e-12,2.079908026672403e-09,-1.05812e-08,1.05766e-08,2.11578e-08,0.02220080526349028,9.38338434889437
-3.3569063232473073e-12,2.079337738597291e-09,-1.05511e-08,1.05367e-08,2.10878e-08,0.021270285106888255,9.287399497691684
3.684359328352686e-12,1.9117284996731167e-09,-1.41741e-08,1.43207e-08,2.84948e-08,-0.003954287261824825,26.207967967574188
-3.4544211788571476e-12,2.079908026672403e-09,-1.05812e-08,1.05766e-08,2.11578e-08,0.02220080526349028,9.38338434889437
-3.3451470575809327e-12,2.0792732451219346e-09,-1.0551e-08,1.05365e-08,2.10875e-08,0.021252847961510744,9.288145598959872
3.690835969791692e-12,1.9150336392978984e-09,-1.42042e-08,1.43599e-08,2.8564100000000002e-08,-0.003986622468513349,26.253449113100388
-2.170114731240988e-12,2.2338975762145964e-09,-1.12192e-08,1.10987e-08,2.23179e-08,0.01761565351790008,9.045764024366425
-3.3451470575809327e-12,2.0792732451219346e-09,-1.0551e-08,1.05365e-08,2.10875e-08,0.021252847961510744,9.288145598959872
